"beta_CI_joint","beta_CI_joint_noIntrcpt","beta_CI_naive","beta_CI_naive_noIntrcpt","n_ids","snr_sigma","snr_B","params_id"
0.6,0.6,0.929282178217822,0.858564356435643,5,0.5,0.5,"elife_137"
0.62,0.62,0.93049504950495,0.860990099009901,5,1,0.5,"elife_139"
0.7,0.7,0.935445544554455,0.870891089108911,5,2,0.5,"elife_141"
0.755,0.755,0.951534653465346,0.903069306930693,5,0.5,1,"elife_143"
0.735,0.735,0.948143564356436,0.896287128712871,5,1,1,"elife_145"
0.785,0.785,0.949826732673267,0.899653465346535,5,2,1,"elife_147"
0.81,0.81,0.96789603960396,0.935792079207921,5,0.5,2,"elife_149"
0.915,0.915,0.974183168316831,0.948366336633663,5,1,2,"elife_151"
0.95,0.95,0.979158415841584,0.958316831683168,5,2,2,"elife_153"
0.81,0.81,0.949777227722772,0.899554455445544,10,0.5,0.5,"elife_155"
0.81,0.81,0.948465346534653,0.896930693069307,10,1,0.5,"elife_157"
0.84,0.84,0.951509900990099,0.903019801980198,10,2,0.5,"elife_159"
0.84,0.84,0.961138613861386,0.922277227722772,10,0.5,1,"elife_161"
0.88,0.88,0.960222772277228,0.920445544554455,10,1,1,"elife_163"
0.9,0.9,0.961955445544554,0.923910891089109,10,2,1,"elife_165"
0.895,0.895,0.970816831683168,0.941633663366337,10,0.5,2,"elife_167"
0.93,0.93,0.978440594059406,0.956881188118812,10,1,2,"elife_169"
0.975,0.975,0.984876237623762,0.969752475247525,10,2,2,"elife_171"
0.815,0.815,0.951410891089109,0.902821782178218,15,0.5,0.5,"elife_173"
0.82,0.82,0.950445544554455,0.900891089108911,15,1,0.5,"elife_175"
0.825,0.825,0.953688118811881,0.907376237623762,15,2,0.5,"elife_177"
0.87,0.87,0.961237623762376,0.922475247524752,15,0.5,1,"elife_179"
0.87,0.87,0.958985148514851,0.917970297029703,15,1,1,"elife_181"
0.86,0.86,0.959851485148515,0.91970297029703,15,2,1,"elife_183"
0.885,0.885,0.970519801980198,0.941039603960396,15,0.5,2,"elife_185"
0.96,0.96,0.976559405940594,0.953118811881188,15,1,2,"elife_187"
0.97,0.97,0.982549504950495,0.96509900990099,15,2,2,"elife_189"
0.805,0.805,0.955173267326733,0.910346534653465,20,0.5,0.5,"elife_191"
0.835,0.835,0.955173267326733,0.910346534653465,20,1,0.5,"elife_193"
0.875,0.875,0.957945544554455,0.915891089108911,20,2,0.5,"elife_195"
0.86,0.86,0.963391089108911,0.926782178217822,20,0.5,1,"elife_197"
0.85,0.85,0.961287128712871,0.922574257425743,20,1,1,"elife_199"
0.86,0.86,0.961930693069307,0.923861386138614,20,2,1,"elife_201"
0.885,0.885,0.970668316831683,0.941336633663366,20,0.5,2,"elife_203"
0.935,0.935,0.978267326732673,0.956534653465346,20,1,2,"elife_205"
0.95,0.95,0.983663366336634,0.967326732673267,20,2,2,"elife_207"
0.785,0.785,0.954628712871287,0.909257425742574,25,0.5,0.5,"elife_209"
0.835,0.835,0.951806930693069,0.903613861386139,25,1,0.5,"elife_211"
0.875,0.875,0.954034653465346,0.908069306930693,25,2,0.5,"elife_213"
0.88,0.88,0.962549504950495,0.92509900990099,25,0.5,1,"elife_215"
0.84,0.84,0.960123762376238,0.920247524752475,25,1,1,"elife_217"
0.87,0.87,0.958712871287129,0.917425742574257,25,2,1,"elife_219"
0.94,0.94,0.969876237623762,0.939752475247525,25,0.5,2,"elife_221"
0.955,0.955,0.976039603960396,0.952079207920792,25,1,2,"elife_223"
0.975,0.975,0.981732673267327,0.963465346534653,25,2,2,"elife_225"
