"s","cov","pointwise","params","n_ids","knots_div","smooth_method"
1,"beta_0",1,"elife_137",5,8,"GCV.Cp"
1,"beta_1",0.925,"elife_137",5,8,"GCV.Cp"
2,"beta_0",1,"elife_137",5,8,"GCV.Cp"
2,"beta_1",0.89,"elife_137",5,8,"GCV.Cp"
3,"beta_0",1,"elife_137",5,8,"GCV.Cp"
3,"beta_1",0.91,"elife_137",5,8,"GCV.Cp"
4,"beta_0",1,"elife_137",5,8,"GCV.Cp"
4,"beta_1",0.89,"elife_137",5,8,"GCV.Cp"
5,"beta_0",1,"elife_137",5,8,"GCV.Cp"
5,"beta_1",0.9,"elife_137",5,8,"GCV.Cp"
6,"beta_0",1,"elife_137",5,8,"GCV.Cp"
6,"beta_1",0.875,"elife_137",5,8,"GCV.Cp"
7,"beta_0",1,"elife_137",5,8,"GCV.Cp"
7,"beta_1",0.885,"elife_137",5,8,"GCV.Cp"
8,"beta_0",1,"elife_137",5,8,"GCV.Cp"
8,"beta_1",0.89,"elife_137",5,8,"GCV.Cp"
9,"beta_0",1,"elife_137",5,8,"GCV.Cp"
9,"beta_1",0.86,"elife_137",5,8,"GCV.Cp"
10,"beta_0",1,"elife_137",5,8,"GCV.Cp"
10,"beta_1",0.88,"elife_137",5,8,"GCV.Cp"
11,"beta_0",1,"elife_137",5,8,"GCV.Cp"
11,"beta_1",0.855,"elife_137",5,8,"GCV.Cp"
12,"beta_0",1,"elife_137",5,8,"GCV.Cp"
12,"beta_1",0.82,"elife_137",5,8,"GCV.Cp"
13,"beta_0",1,"elife_137",5,8,"GCV.Cp"
13,"beta_1",0.77,"elife_137",5,8,"GCV.Cp"
14,"beta_0",1,"elife_137",5,8,"GCV.Cp"
14,"beta_1",0.825,"elife_137",5,8,"GCV.Cp"
15,"beta_0",1,"elife_137",5,8,"GCV.Cp"
15,"beta_1",0.86,"elife_137",5,8,"GCV.Cp"
16,"beta_0",1,"elife_137",5,8,"GCV.Cp"
16,"beta_1",0.82,"elife_137",5,8,"GCV.Cp"
17,"beta_0",1,"elife_137",5,8,"GCV.Cp"
17,"beta_1",0.82,"elife_137",5,8,"GCV.Cp"
18,"beta_0",1,"elife_137",5,8,"GCV.Cp"
18,"beta_1",0.805,"elife_137",5,8,"GCV.Cp"
19,"beta_0",1,"elife_137",5,8,"GCV.Cp"
19,"beta_1",0.81,"elife_137",5,8,"GCV.Cp"
