"s","cov","pointwise","params","n_ids","knots_div","smooth_method"
1,"beta_0",1,"elife_136",5,8,"GCV.Cp"
1,"beta_1",0.845,"elife_136",5,8,"GCV.Cp"
2,"beta_0",1,"elife_136",5,8,"GCV.Cp"
2,"beta_1",0.805,"elife_136",5,8,"GCV.Cp"
3,"beta_0",1,"elife_136",5,8,"GCV.Cp"
3,"beta_1",0.79,"elife_136",5,8,"GCV.Cp"
4,"beta_0",1,"elife_136",5,8,"GCV.Cp"
4,"beta_1",0.72,"elife_136",5,8,"GCV.Cp"
5,"beta_0",1,"elife_136",5,8,"GCV.Cp"
5,"beta_1",0.71,"elife_136",5,8,"GCV.Cp"
6,"beta_0",1,"elife_136",5,8,"GCV.Cp"
6,"beta_1",0.7,"elife_136",5,8,"GCV.Cp"
7,"beta_0",1,"elife_136",5,8,"GCV.Cp"
7,"beta_1",0.67,"elife_136",5,8,"GCV.Cp"
8,"beta_0",1,"elife_136",5,8,"GCV.Cp"
8,"beta_1",0.7,"elife_136",5,8,"GCV.Cp"
9,"beta_0",1,"elife_136",5,8,"GCV.Cp"
9,"beta_1",0.705,"elife_136",5,8,"GCV.Cp"
10,"beta_0",1,"elife_136",5,8,"GCV.Cp"
10,"beta_1",0.71,"elife_136",5,8,"GCV.Cp"
11,"beta_0",1,"elife_136",5,8,"GCV.Cp"
11,"beta_1",0.75,"elife_136",5,8,"GCV.Cp"
12,"beta_0",1,"elife_136",5,8,"GCV.Cp"
12,"beta_1",0.73,"elife_136",5,8,"GCV.Cp"
13,"beta_0",1,"elife_136",5,8,"GCV.Cp"
13,"beta_1",0.695,"elife_136",5,8,"GCV.Cp"
14,"beta_0",1,"elife_136",5,8,"GCV.Cp"
14,"beta_1",0.745,"elife_136",5,8,"GCV.Cp"
15,"beta_0",1,"elife_136",5,8,"GCV.Cp"
15,"beta_1",0.78,"elife_136",5,8,"GCV.Cp"
16,"beta_0",1,"elife_136",5,8,"GCV.Cp"
16,"beta_1",0.765,"elife_136",5,8,"GCV.Cp"
17,"beta_0",1,"elife_136",5,8,"GCV.Cp"
17,"beta_1",0.765,"elife_136",5,8,"GCV.Cp"
18,"beta_0",1,"elife_136",5,8,"GCV.Cp"
18,"beta_1",0.77,"elife_136",5,8,"GCV.Cp"
19,"beta_0",1,"elife_136",5,8,"GCV.Cp"
19,"beta_1",0.79,"elife_136",5,8,"GCV.Cp"
20,"beta_0",1,"elife_136",5,8,"GCV.Cp"
20,"beta_1",0.825,"elife_136",5,8,"GCV.Cp"
21,"beta_0",1,"elife_136",5,8,"GCV.Cp"
21,"beta_1",0.82,"elife_136",5,8,"GCV.Cp"
22,"beta_0",1,"elife_136",5,8,"GCV.Cp"
22,"beta_1",0.805,"elife_136",5,8,"GCV.Cp"
23,"beta_0",1,"elife_136",5,8,"GCV.Cp"
23,"beta_1",0.835,"elife_136",5,8,"GCV.Cp"
24,"beta_0",1,"elife_136",5,8,"GCV.Cp"
24,"beta_1",0.81,"elife_136",5,8,"GCV.Cp"
25,"beta_0",1,"elife_136",5,8,"GCV.Cp"
25,"beta_1",0.79,"elife_136",5,8,"GCV.Cp"
26,"beta_0",1,"elife_136",5,8,"GCV.Cp"
26,"beta_1",0.805,"elife_136",5,8,"GCV.Cp"
27,"beta_0",1,"elife_136",5,8,"GCV.Cp"
27,"beta_1",0.785,"elife_136",5,8,"GCV.Cp"
28,"beta_0",1,"elife_136",5,8,"GCV.Cp"
28,"beta_1",0.8,"elife_136",5,8,"GCV.Cp"
29,"beta_0",1,"elife_136",5,8,"GCV.Cp"
29,"beta_1",0.825,"elife_136",5,8,"GCV.Cp"
30,"beta_0",1,"elife_136",5,8,"GCV.Cp"
30,"beta_1",0.83,"elife_136",5,8,"GCV.Cp"
31,"beta_0",1,"elife_136",5,8,"GCV.Cp"
31,"beta_1",0.82,"elife_136",5,8,"GCV.Cp"
32,"beta_0",1,"elife_136",5,8,"GCV.Cp"
32,"beta_1",0.785,"elife_136",5,8,"GCV.Cp"
